Instance	    Time	#Runs	Alpha
/OVRP/100p1v.ovrp	10 1	0.8
/OVRP/100p3v.ovrp	10 1	0.5
/OVRP/100p5v.ovrp	10 1	0.2
/OVRP/100p5v.ovrp	10 1	0
