
/OVRP/100p1v.ovrp	RKO	1	3.023214	3.023214	3.023214	10.174	10.193
/OVRP/100p3v.ovrp	RKO	1	2.940796	2.940796	2.940796	8.661	10.182
/OVRP/100p5v.ovrp	RKO	1	3.018944	3.018944	3.018944	9.308	10.178
/OVRP/300p1v.ovrp	RKO	1	9.455578	9.455578	9.455578	12.365	12.406
/OVRP/300p3v.ovrp	RKO	1	9.574263	9.574263	9.574263	12.019	12.368
/OVRP/300p5v.ovrp	RKO	1	9.848338	9.848338	9.848338	11.802	12.829
/OVRP/500p1v.ovrp	RKO	1	17.722448	17.722448	17.722448	19.562	19.575
/OVRP/500p3v.ovrp	RKO	1	18.718597	18.718597	18.718597	15.893	17.118
/OVRP/500p5v.ovrp	RKO	1	19.304138	19.304138	19.304138	18.211	18.838
/OVRP/100p1v.ovrp	RKO	1	2.861613	2.861613	2.861613	42.992	100.174
/OVRP/100p3v.ovrp	RKO	1	2.818284	2.818284	2.818284	13.586	100.350
/OVRP/100p5v.ovrp	RKO	1	2.801691	2.801691	2.801691	63.447	100.636
/OVRP/300p1v.ovrp	RKO	1	7.120578	7.120578	7.120578	96.890	104.885
/OVRP/300p3v.ovrp	RKO	1	6.731375	6.731375	6.731375	103.059	103.571
/OVRP/300p5v.ovrp	RKO	1	6.910876	6.910876	6.910876	99.021	104.325
/OVRP/500p1v.ovrp	RKO	1	13.143226	13.143226	13.143226	110.083	110.083
/OVRP/500p3v.ovrp	RKO	1	13.351379	13.351379	13.351379	94.294	111.493
/OVRP/500p5v.ovrp	RKO	1	13.171562	13.171562	13.171562	111.588	111.589
/OVRP/100p1v.ovrp	RKO	1	37.337879	37.337879	37.337879	2.275	100.143
/OVRP/100p3v.ovrp	RKO	1	37.337879	37.337879	37.337879	2.988	100.300
/OVRP/100p5v.ovrp	RKO	1	37.337879	37.337879	37.337879	4.372	100.253
/OVRP/300p1v.ovrp	RKO	1	113.429697	113.429697	113.429697	83.018	103.658
/OVRP/300p3v.ovrp	RKO	1	113.429697	113.429697	113.429697	46.769	103.841
/OVRP/300p5v.ovrp	RKO	1	113.429697	113.429697	113.429697	55.394	103.271
/OVRP/500p1v.ovrp	RKO	1	183.538485	183.538485	183.538485	67.076	110.206
/OVRP/500p3v.ovrp	RKO	1	183.538485	183.538485	183.538485	44.349	112.676
/OVRP/500p5v.ovrp	RKO	1	183.538485	183.538485	183.538485	48.413	109.310
/OVRP/100p1v.ovrp	RKO	1	20.127410	20.127410	20.127410	37.908	100.201
/OVRP/100p3v.ovrp	RKO	1	20.036098	20.036098	20.036098	100.428	100.744
